"Almonds, dried",60,mL,nuts,36,208,870,8,7,2,4.2,18,1.4,11.6,4.4,89,1.5,0,262,99,171,10,0,9.3,-1,-1
"Almonds, oil roasted",60,mL,nuts,40,242,1010,8,7,2,4.2,22,1.7,13.9,5.4,116,1.5,0,278,109,186,11,0,10.3,-1,-1
"Almonds, roasted, salted",60,mL,nuts,35,209,874,8,7,2,4.1,18,1.4,11.8,4.4,93,1.6,119,261,100,171,12,0,9.1,-1,-1
"Brazil nuts, dried",60,mL,nuts,36,233,974,5,4,1,2.7,24,5.4,8.7,7.3,57,0.9,1,234,133,257,8,0,2,-1,-1
"Cashews, roasted, salted",60,mL,nuts,35,199,834,5,11,2,1,16,3.2,9.5,2.7,16,2.1,222,196,90,170,24,0,0.3,-1,-1
"Hazelnuts or filberts, dried",60,mL,nuts,34,215,899,5,6,1,3.3,21,1.5,15.6,2.7,39,1.6,0,233,56,99,39,0,5.2,-1,-1
"Mixed nuts, oil roasted, salted",60,mL,nuts,36,222,929,6,8,2,3.2,20,3.1,11.4,4.8,39,1.2,151,209,85,167,30,0,2.6,-1,-1
"Mixed nuts, roasted",60,mL,nuts,35,206,863,6,9,-1,3.1,18,2.4,10.9,3.7,24,1.3,4,207,78,151,17,0,-1,-1,-1
"Mixed nuts, roasted, salted",60,mL,nuts,35,206,863,6,9,2,3.1,18,2.4,10.9,3.7,24,1.3,232,207,78,151,17,0,3.8,-1,-1
"Nuts, macadamia, roasted, salted",60,mL,nuts,34,243,1017,3,4,1,2.7,26,4.1,20.1,0.5,24,0.9,90,123,40,67,3,0,0.2,-1,-1
"Pecans, dried",60,mL,nuts,25,173,726,2,3,1,2.4,18,1.6,10.2,5.4,18,0.6,0,103,30,70,6,0,0.4,-1,-1
"Pine nuts, pignolia, dried",60,mL,nuts,34,230,963,5,4,1,1.3,23,1.7,6.4,11.7,5,1.9,1,204,86,197,12,0,3.2,-1,-1
"Pistachios, shelled, roasted, salted",60,mL,nuts,31,177,741,7,8,2,3.2,14,1.7,7.6,4.3,34,1.3,126,325,37,151,16,0,0.6,-1,-1
"Walnuts, dried",60,mL,nuts,25,166,694,4,3,1,1.7,17,1.6,2.3,12,25,0.7,1,112,40,88,25,0,0.2,-1,-1
Almond butter,30,mL,nut butters,32,205,858,5,7,-1,1.2,19,1.8,12.4,4,88,1.2,4,246,98,170,21,0,-1,-1,-1
Cashew butter,30,mL,nut butters,32,190,796,6,9,-1,0.6,16,3.2,9.4,2.7,14,1.6,5,177,84,148,22,0,0.5,-1,-1
"Sesame butter, tahini",30,mL,nut butters,30,181,757,5,6,0,2.8,16,2.3,6.2,7.2,130,2.7,35,126,29,223,30,0,0.1,-1,-1
"Flaxseeds, whole and ground",15,mL,seeds,11,56,235,2,3,0,3,4,0.4,0.8,3.2,36,0.5,3,89,39,53,30,0,0,-1,-1
"Pumpkin and squash seeds, kernels, dried",60,mL,seeds,35,189,792,9,6,0,1.4,16,3,5,7.3,15,5.2,6,282,187,411,20,0,-1,-1,-1
"Sunflower seed kernels, roasted, salted",60,mL,seeds,32,189,790,6,8,1,2.9,16,1.7,3.1,10.7,23,1.2,133,276,42,375,77,0,8.5,-1,-1
